scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
satur/alta	TBB	16	77.898900	0.001600	0.006300	0.012100	0.951200	0.241090	2.053944	2053944.279059	15.043537	94.022108	1.000000	1.392855
satur/alta	WinTP	16	108.501900	0.015200	0.053600	0.091900	0.106800	0.106000	1.474629	1474628.554892	3.168147	19.800921	0.717950	1.000000
satur/ultra	oficial	16	48.110800	0.000400	0.223200	0.496600	1.079200	0.719690	4.988485	4988484.913990	10.392677	64.954231	2.487094	3.515562
satur/ultra	TBB	16	119.656100	0.001500	0.004800	0.009500	0.505700	0.144800	2.005748	2005748.139878	16.583985	103.649908	1.000000	1.413522
satur/ultra	WinTP	16	169.136500	0.015800	0.101700	0.905600	0.923500	0.918900	1.418972	1418972.250224	3.602859	22.517870	0.707453	1.000000
rajada-curta/media	oficial	16	10.509500	0.000400	0.001200	0.001900	0.014200	0.006890	5.709120	5709120.319711	17.841001	111.506256	2.732309	3.990875
rajada-curta/media	TBB	16	28.715200	0.001600	0.005500	0.013400	0.158700	0.049850	2.089486	2089485.707918	16.324107	102.025669	1.000000	1.460624
rajada-curta/media	WinTP	16	41.942100	0.014200	0.051000	0.066900	0.146300	0.089550	1.430544	1430543.535016	4.470449	27.940303	0.684639	1.000000
rajada-mista/media	oficial	16	121.210600	30.279600	84.325500	89.399000	102.049300	91.266910	0.495006	495006.212328	14.308773	89.429833	0.946108	0.990375
rajada-mista/media	TBB	16	114.678300	45.241500	89.708400	91.242600	92.320100	92.305320	0.523203	523202.733211	14.851328	92.820797	1.000000	1.046788
rajada-mista/media	WinTP	16	120.043900	40.901000	80.561100	81.316500	81.419400	81.415620	0.499817	499817.150226	14.057357	87.858483	0.955303	1.000000
mista-massiva/alta	oficial	16	315.761500	18.333500	74.311600	89.229700	91.282200	91.025260	0.570050	570050.496973	14.597647	91.235295	1.027654	1.060620
mista-massiva/alta	TBB	16	324.493600	123.154400	239.398500	242.298400	242.628200	242.619160	0.554710	554710.478111	14.301130	89.382059	1.000000	1.032079
mista-massiva/alta	WinTP	16	334.903000	73.650500	179.416200	181.302700	181.506900	181.504190	0.537469	537469.058205	15.116317	94.476983	0.968918	1.000000
mista-massiva/ultra	oficial	16	509.790500	24.944900	139.745000	175.966400	178.512900	178.250970	0.470782	470781.625001	14.405427	90.033921	1.143250	1.090370
mista-massiva/ultra	TBB	16	582.817900	250.656600	473.841900	479.160700	480.991300	480.908930	0.411792	411792.431221	12.868513	80.428209	1.000000	0.953746
mista-massiva/ultra	WinTP	16	555.860500	168.896500	359.917000	363.672600	364.073200	364.066600	0.431763	431763.005286	12.761745	79.760907	1.048497	1.000000
malloc-default/media	oficial	16	39.851500	5.544800	14.418200	14.533200	27.159100	15.818330	1.505590	1505589.501023	12.154499	75.965616	1.010434	1.284303
malloc-default/media	TBB	16	40.267300	6.232600	14.256700	14.799800	14.843600	14.833660	1.490043	1490042.789062	11.640959	72.755996	1.000000	1.271041
malloc-default/media	WinTP	16	51.181400	0.039700	1.451500	1.832600	3.370200	2.057670	1.172301	1172300.874927	8.548027	53.425170	0.786757	1.000000
malloc-default/alta	oficial	16	75.141600	7.891000	16.927800	18.426700	26.217700	19.785360	1.596985	1596984.892523	15.179674	94.872963	1.070211	1.553924
malloc-default/alta	TBB	16	80.417400	11.264100	25.729600	26.285000	26.491800	26.483670	1.492214	1492214.371517	13.406613	83.791334	1.000000	1.451978
malloc-default/alta	WinTP	16	116.764300	0.080000	13.103200	13.341300	21.964800	14.348360	1.027711	1027711.380961	7.226096	45.163098	0.688716	1.000000
mempool/media	oficial	16	9.765500	0.000400	0.504600	0.549100	3.198900	0.978890	6.144079	6144078.644207	0.000000	0.000000	2.826389	4.713747
mempool/media	TBB	16	27.601100	0.002300	0.011100	0.043600	3.875200	1.419820	2.173826	2173826.405469	6.227107	38.919418	1.000000	1.667763
mempool/media	WinTP	16	46.032100	0.016900	0.120000	0.198300	0.203400	0.201920	1.303438	1303438.252871	3.394370	21.214815	0.599605	1.000000
mempool/alta	oficial	16	22.300400	0.000400	0.362500	0.491700	0.954100	0.557890	5.381069	5381069.397858	7.707261	48.170380	3.027008	4.121141
mempool/alta	TBB	16	67.503500	0.002200	0.053800	0.260400	4.361600	2.707370	1.777686	1777685.601487	7.869962	49.187264	1.000000	1.361457
mempool/alta	WinTP	16	91.903100	0.017100	3.050700	3.100700	4.371700	3.280840	1.305723	1305723.093127	4.760449	29.752805	0.734507	1.000000
lento-misto	oficial	16	953.968200	76.131300	918.379500	937.011200	945.188900	937.005180	0.004193	4193.011884	14.151415	88.446344	1.164840	1.154008
lento-misto	TBB	16	1111.220000	547.630800	1087.232400	1098.484400	1101.724800	1098.460650	0.003600	3599.647235	13.414310	83.839440	1.000000	0.990701
lento-misto	WinTP	16	1100.887300	545.390100	1079.255700	1090.726800	1091.199600	1090.193030	0.003633	3633.432777	13.100228	81.876427	1.009386	1.000000
