scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
mista/alta	oficial	16	208.457300	11.966150	60.031350	67.618250	82.963210	72.310040	0.575727	575726.727499	14.769989	92.312430	1.017684	1.025201
mista/alta	TBB	16	212.118250	83.380250	166.467600	168.271950	161.327580	168.450765	0.565722	565722.388574	14.645259	91.532870	1.000000	1.007386
mista/alta	WinTP	16	213.685050	75.239100	151.593650	153.112650	155.109750	153.270205	0.561574	561574.477871	14.557107	90.981919	0.992668	1.000000
mista/ultra	oficial	16	367.221750	16.753150	92.117200	103.997350	111.855090	107.923430	0.490283	490283.034136	14.642262	91.514136	0.988567	0.974462
mista/ultra	TBB	16	362.939650	149.458400	297.074400	300.011250	295.927670	300.337910	0.495953	495953.209360	14.473007	90.456292	1.000000	0.985732
mista/ultra	WinTP	16	357.759050	138.258800	266.900000	269.282300	266.649220	269.563485	0.503132	503131.972767	14.658973	91.618583	1.014475	1.000000
satur/alta	oficial	16	27.765050	0.000400	0.000950	0.001550	0.181910	0.044805	5.762966	5762965.893073	12.358949	77.243433	2.763333	3.779266
satur/alta	TBB	16	76.719750	0.001600	0.005700	0.010000	0.381750	0.132500	2.085513	2085512.999172	14.059643	87.872771	1.000000	1.367648
satur/alta	WinTP	16	104.925650	0.014000	0.054050	0.125000	0.152150	0.141570	1.524890	1524890.216313	3.532996	22.081222	0.731182	1.000000
satur/ultra	oficial	16	42.754500	0.000400	0.001150	0.001650	0.251770	0.092085	5.613523	5613522.815010	12.585344	78.658400	2.643855	3.699877
satur/ultra	TBB	16	113.035900	0.001650	0.005700	0.010150	0.828860	0.170565	2.123234	2123233.702184	14.666717	91.666980	1.000000	1.399425
satur/ultra	WinTP	16	158.184200	0.013750	0.056300	0.127650	0.166260	0.154065	1.517219	1517218.912258	3.516527	21.978293	0.714579	1.000000
rajada-curta/media	oficial	16	10.566850	0.000400	0.000800	0.001300	0.098800	0.008585	5.679004	5679004.411798	16.260216	101.626349	2.678088	3.785177
rajada-curta/media	TBB	16	28.294650	0.001700	0.006000	0.011650	0.200570	0.051475	2.120544	2120544.457922	14.910837	93.192730	1.000000	1.413388
rajada-curta/media	WinTP	16	39.991300	0.013950	0.033650	0.089550	0.116250	0.109960	1.500327	1500327.240034	4.241269	26.507931	0.707520	1.000000
rajada-mista/media	oficial	16	118.801100	18.923050	78.595650	83.160550	85.472410	83.954965	0.505049	505048.907041	14.950903	93.443145	0.992839	1.008683
rajada-mista/media	TBB	16	118.023150	48.337900	95.818200	96.902050	97.630320	96.998290	0.508692	508691.818706	14.405034	90.031463	1.000000	1.015958
rajada-mista/media	WinTP	16	119.832350	47.123850	92.418700	93.172500	90.138110	93.250250	0.500702	500701.524857	14.787635	92.422716	0.984292	1.000000
mista-massiva/alta	oficial	16	313.387500	11.510800	64.982850	74.245900	80.163420	80.342010	0.574383	574382.601545	14.928973	93.306084	1.044153	1.046860
mista-massiva/alta	TBB	16	327.225650	129.529250	255.265250	258.266550	258.952110	258.455425	0.550094	550094.340833	14.425899	90.161868	1.000000	1.002593
mista-massiva/alta	WinTP	16	328.065700	122.494000	232.611850	234.951550	234.664620	235.213195	0.548672	548671.750223	14.706535	91.915843	0.997414	1.000000
mista-massiva/ultra	oficial	16	491.869050	19.324300	71.363050	82.334150	122.561090	88.238875	0.487937	487937.407020	14.832018	92.700110	1.042705	1.025891
mista-massiva/ultra	TBB	16	512.873100	210.929200	415.768900	419.777900	409.396250	419.885700	0.467954	467953.528482	14.567788	91.048678	1.000000	0.983875
mista-massiva/ultra	WinTP	16	504.612450	204.764700	371.526600	374.514250	380.148140	374.887515	0.475623	475622.911678	14.481442	90.509011	1.016389	1.000000
malloc-default/media	oficial	16	34.104300	7.840800	14.068900	14.533950	15.935490	14.582200	1.759327	1759327.379440	13.690815	85.567592	1.053800	1.403434
malloc-default/media	TBB	16	35.938750	5.791900	11.698950	12.276250	14.067450	12.327615	1.669509	1669508.525514	13.410084	83.813027	1.000000	1.331784
malloc-default/media	WinTP	16	47.862800	0.040050	0.121200	0.146900	0.304380	0.169195	1.253588	1253587.921981	10.144076	63.400475	0.750872	1.000000
malloc-default/alta	oficial	16	68.269650	7.981650	15.798000	16.579650	27.906450	18.120235	1.757737	1757736.865480	14.159486	88.496785	1.058949	1.416199
malloc-default/alta	TBB	16	72.294600	10.783050	21.823750	23.469100	25.678090	23.634230	1.659888	1659888.436384	14.158752	88.492199	1.000000	1.337363
malloc-default/alta	WinTP	16	96.683900	0.038100	0.121050	0.162700	0.295100	0.212530	1.241165	1241164.907798	11.467262	71.670387	0.747740	1.000000
mempool/media	oficial	16	9.022300	0.000400	0.359150	0.379900	0.558310	0.415060	6.650197	6650197.475840	19.016389	118.852431	3.099119	4.613257
mempool/media	TBB	16	27.961200	0.001700	0.005950	0.013800	0.204620	0.065710	2.145835	2145834.572690	15.913134	99.457085	1.000000	1.488570
mempool/media	WinTP	16	41.622150	0.016950	0.044800	0.110400	0.145270	0.112515	1.441541	1441540.796189	4.284796	26.779972	0.671786	1.000000
