scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
flat-externo	oficial	16	304.143900	0.000500	0.000800	0.003500	4.155200	0.421940	3.287917	3287917.331237	11.978649	74.866555	1.307676	2.308947
flat-externo	g1-ring	16	179.974300	0.000400	0.000800	0.001500	0.692167	0.257060	5.556349	5556348.878701	11.702093	73.138080	2.209881	3.901958
flat-externo	g2-sub	16	369.906400	0.000600	0.001000	0.006400	0.920100	0.286700	2.703387	2703386.586445	11.632681	72.704254	1.075196	1.898459
flat-externo	g3-wrk	16	640.155800	0.000600	0.001000	0.003900	0.450567	0.160520	1.562120	1562119.721480	11.593857	72.461608	0.621289	1.097002
flat-externo	g4-park	16	340.589200	0.000500	0.000900	0.005100	1.042833	0.525370	2.936088	2936088.402098	11.652601	72.828755	1.167746	2.061874
flat-externo	all	16	319.479400	0.000400	0.000800	0.002200	0.561500	0.263780	3.130092	3130092.268860	11.295253	70.595330	1.244906	2.198114
flat-externo	final	16	182.843600	0.000400	0.000800	0.001800	0.573567	0.279420	5.469155	5469155.059297	11.109221	69.432633	2.175202	3.840726
flat-externo	TBB	16	397.721700	0.001700	0.006700	0.011800	1.472433	0.414110	2.514321	2514320.943514	13.318044	83.237773	1.000000	1.765687
flat-externo	WinTP	16	702.252100	0.014400	0.082000	0.160500	0.286100	0.210850	1.423990	1423990.045740	3.337642	20.860263	0.566352	1.000000
spawn-arvore (task dentro de task)	oficial	16	99.719400	0.002100	0.156000	1.634100	72.138167	53.859750	10.028139	10028138.957916	12.421008	77.631301	0.933711	7.385729
spawn-arvore (task dentro de task)	g1-ring	16	102.845100	0.002100	0.157500	1.714100	72.297900	54.574820	9.723361	9723360.665700	13.775472	86.096703	0.905333	7.161260
spawn-arvore (task dentro de task)	g2-sub	16	94.921400	0.002100	0.150800	1.679300	64.025833	48.291430	10.535032	10535032.142383	15.128733	94.554579	0.980907	7.759056
spawn-arvore (task dentro de task)	g3-wrk	16	93.050200	0.001800	0.137700	1.552400	50.606300	40.484440	10.746887	10746887.164133	13.937369	87.108558	1.000633	7.915088
spawn-arvore (task dentro de task)	g4-park	16	101.373700	0.001900	0.132600	1.436000	66.942500	51.825100	9.864491	9864491.480532	11.714084	73.213023	0.918474	7.265203
spawn-arvore (task dentro de task)	all	16	95.377900	0.001700	0.129800	1.343400	62.530767	47.608370	10.484609	10484609.118045	13.433405	83.958784	0.976213	7.721920
spawn-arvore (task dentro de task)	final	16	89.602100	0.001900	0.142200	1.511900	60.710567	47.190730	11.160453	11160452.712604	13.714943	85.718395	1.039140	8.219679
spawn-arvore (task dentro de task)	TBB	16	93.109100	0.002100	0.150700	1.681400	75.024800	53.371170	10.740089	10740088.777574	15.271064	95.444148	1.000000	7.910081
spawn-arvore (task dentro de task)	WinTP	16	736.500500	256.776400	284.483400	284.866800	289.562900	286.423180	1.357772	1357772.330093	14.432168	90.201052	0.126421	1.000000
