scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct
flat-externo	oficial	16	326.381700	0.000500	0.000900	0.002300	0.786990	0.148685	3.063898	3063898.376132	13.069479	81.684242
flat-externo	bug001	16	317.241150	0.000500	0.000900	0.002300	1.200530	0.202365	3.152190	3152189.742010	13.082063	81.762897
flat-externo	perf001-A:ctrs-pad	16	315.319750	0.000500	0.000850	0.002100	1.035600	0.137210	3.171616	3171616.417822	12.933347	80.833416
flat-externo	perf002-B:struct-pad	16	310.511300	0.000500	0.000800	0.002100	1.181490	0.231020	3.220507	3220506.593846	13.265046	82.906534
flat-externo	perf003-C:wake-alvo	16	325.256950	0.000500	0.000900	0.002300	1.091750	0.209070	3.074528	3074528.223950	13.076154	81.725964
flat-externo	perf004-D:ctr-worker	16	306.772850	0.000500	0.000900	0.002100	0.629540	0.184025	3.259742	3259741.893372	13.260125	82.875780
flat-externo	perf005-E:elastic-lote	16	321.977900	0.000500	0.000900	0.002300	1.058600	0.163425	3.105883	3105882.657529	12.982478	81.140487
flat-externo	all:bugs+A..E	16	281.807150	0.000500	0.000800	0.001850	1.561250	0.192870	3.548527	3548526.508828	13.228170	82.676061
flat-externo	TBB	16	356.541900	0.001400	0.013100	0.104100	1.885800	0.815270	2.804869	2804868.657778	15.401907	96.261916
flat-externo	WinTP	16	735.410250	0.008750	0.203200	0.459900	1.635020	0.526765	1.359823	1359822.526495	3.230552	20.190950
spawn-arvore (task dentro de task)	oficial	16	103.109550	0.002250	0.160300	1.779850	66.127140	50.991105	9.698922	9698921.786254	14.111928	88.199549
spawn-arvore (task dentro de task)	bug001	16	103.437750	0.002200	0.159400	1.768750	69.309180	50.816655	9.668116	9668116.380298	14.473766	90.461038
spawn-arvore (task dentro de task)	perf001-A:ctrs-pad	16	96.230050	0.002000	0.146700	1.610650	64.424150	49.997895	10.392502	10392501.642821	14.057156	87.857222
spawn-arvore (task dentro de task)	perf002-B:struct-pad	16	104.173500	0.002200	0.159550	1.720300	70.771180	52.704370	9.600385	9600385.206861	14.067712	87.923198
spawn-arvore (task dentro de task)	perf003-C:wake-alvo	16	105.063600	0.002250	0.157800	1.729250	67.418360	51.147635	9.518329	9518329.008356	14.217379	88.858618
spawn-arvore (task dentro de task)	perf004-D:ctr-worker	16	105.730600	0.002200	0.156900	1.786500	72.533170	52.556030	9.458000	9457999.870986	13.409123	83.807020
spawn-arvore (task dentro de task)	perf005-E:elastic-lote	16	106.100700	0.002200	0.159100	1.779800	65.930590	50.597895	9.425056	9425055.731363	12.905914	80.661961
spawn-arvore (task dentro de task)	all:bugs+A..E	16	96.398350	0.002000	0.146500	1.614900	66.741920	47.962730	10.373977	10373977.218236	13.596866	84.980411
spawn-arvore (task dentro de task)	TBB	16	92.638000	0.002000	0.149100	1.655500	67.994240	51.265570	10.794724	10794723.820219	14.457294	90.358090
spawn-arvore (task dentro de task)	WinTP	16	748.049850	259.790100	295.401800	295.706500	296.724230	296.731450	1.336810	1336809.887054	14.214793	88.842454
rapida/baixa	oficial	16	6.670400	0.000500	0.000900	0.005400	0.223340	0.043525	2.999269	2999269.099020	0.000000	0.000000
rapida/baixa	bug001	16	6.480050	0.000500	0.001050	0.005650	0.339840	0.034555	3.087045	3087044.841319	22.878972	142.993575
rapida/baixa	perf001-A:ctrs-pad	16	6.649100	0.000500	0.000900	0.004600	0.255540	0.061750	3.013702	3013702.308289	0.000000	0.000000
rapida/baixa	perf002-B:struct-pad	16	6.212500	0.000500	0.000900	0.004050	0.355460	0.030005	3.219317	3219316.549326	0.000000	0.000000
rapida/baixa	perf003-C:wake-alvo	16	6.626700	0.000500	0.001000	0.005650	0.281780	0.077545	3.018836	3018835.593433	0.000000	0.000000
rapida/baixa	perf004-D:ctr-worker	16	6.213100	0.000500	0.000900	0.004950	0.133970	0.026255	3.219134	3219133.803055	14.089270	88.057935
rapida/baixa	perf005-E:elastic-lote	16	6.504800	0.000500	0.006700	0.024500	0.584510	0.208705	3.074731	3074730.742679	0.000000	0.000000
rapida/baixa	all:bugs+A..E	16	6.099650	0.000500	0.000900	0.005950	0.257870	0.065895	3.279170	3279169.579314	11.994571	74.966066
rapida/baixa	TBB	16	7.319300	0.001750	0.046200	0.111700	0.534670	0.466185	2.732672	2732671.566323	22.609858	141.311611
rapida/baixa	WinTP	16	15.330500	0.009500	0.240950	0.259550	0.381020	0.268305	1.304597	1304596.906931	3.946878	24.667988
