scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
flat-externo	oficial	16	318.061700	0.000500	0.000900	0.003500	1.089733	0.408660	3.144044	3144044.064406	11.446285	71.539284	1.337305	2.231002
flat-externo	g1-ring	16	182.787100	0.000400	0.000800	0.002100	0.862433	0.268170	5.470846	5470845.590307	11.514504	71.965649	2.327000	3.882091
flat-externo	g2-sub	16	366.692300	0.000600	0.001100	0.004200	0.801467	0.400490	2.727082	2727082.079444	11.910369	74.439806	1.159952	1.935127
flat-externo	g3-wrk	16	696.065400	0.000600	0.001000	0.004100	0.330633	0.164180	1.436647	1436646.613953	11.865093	74.156833	0.611071	1.019439
flat-externo	g4-park	16	352.707600	0.000500	0.000900	0.003000	0.672767	0.366020	2.835210	2835209.675096	11.429439	71.433994	1.205944	2.011854
flat-externo	all	16	315.345700	0.000400	0.000800	0.002400	0.324233	0.163130	3.171123	3171122.992957	11.573711	72.335692	1.348823	2.250217
flat-externo	final	16	180.970300	0.000400	0.000800	0.001500	0.510067	0.292200	5.525769	5525768.592968	11.396898	71.230611	2.350361	3.921064
flat-externo	TBB	16	425.345600	0.001600	0.006800	0.013800	1.192567	0.495180	2.351029	2351029.374701	14.726745	92.042159	1.000000	1.668282
flat-externo	WinTP	16	709.596200	0.015400	0.075200	0.196500	0.962533	0.395770	1.409252	1409252.191599	3.324954	20.780965	0.599419	1.000000
spawn-arvore (task dentro de task)	oficial	16	87.249500	0.001800	0.133500	1.412800	54.756167	40.556920	11.461384	11461383.732858	11.571503	72.321891	0.927482	8.601268
spawn-arvore (task dentro de task)	g1-ring	16	83.765800	0.001800	0.134500	1.410900	56.914500	39.441500	11.938046	11938046.314844	16.568361	103.552257	0.966054	8.958982
spawn-arvore (task dentro de task)	g2-sub	16	88.783800	0.001900	0.140100	1.469500	61.204600	44.382740	11.263316	11263316.055407	11.462325	71.639529	0.911453	8.452626
spawn-arvore (task dentro de task)	g3-wrk	16	79.322800	0.001600	0.123900	1.326900	53.922167	38.920150	12.606716	12606715.849667	15.758395	98.489968	1.020164	9.460789
spawn-arvore (task dentro de task)	g4-park	16	93.796900	0.001600	0.115400	1.293700	60.250667	48.901580	10.661333	10661333.157066	12.288936	76.805849	0.862740	8.000865
spawn-arvore (task dentro de task)	all	16	82.634200	0.001400	0.106000	1.216100	51.133867	48.024450	12.101527	12101526.970673	13.256746	82.854662	0.979283	9.081667
spawn-arvore (task dentro de task)	final	16	81.689000	0.001600	0.121400	1.276400	50.114000	38.928190	12.241550	12241550.269926	14.536841	90.855256	0.990614	9.186749
spawn-arvore (task dentro de task)	TBB	16	80.922300	0.001700	0.126100	1.483100	61.836433	44.387010	12.357533	12357533.090384	13.129879	82.061743	1.000000	9.273789
spawn-arvore (task dentro de task)	WinTP	16	750.456300	255.133200	275.913600	276.221400	283.227033	279.566360	1.332523	1332522.626567	14.198245	88.739029	0.107831	1.000000
rapida/baixa	oficial	16	6.171300	0.000500	0.000900	0.004800	0.157767	0.024800	3.240808	3240808.257579	0.000000	0.000000	1.328002	2.205467
rapida/baixa	g1-ring	16	3.658700	0.000400	0.000800	0.002400	0.188700	0.007130	5.466422	5466422.499795	0.000000	0.000000	2.240003	3.720065
rapida/baixa	g2-sub	16	7.104200	0.000600	0.001000	0.003000	0.049567	0.016170	2.815236	2815236.057543	24.193435	151.208968	1.153613	1.915853
rapida/baixa	g3-wrk	16	12.441800	0.000600	0.001100	0.006300	0.062867	0.015530	1.607484	1607484.447588	13.554250	84.714060	0.658707	1.093941
rapida/baixa	g4-park	16	6.563600	0.000500	0.000900	0.002800	0.017600	0.007190	3.047108	3047108.294229	26.016734	162.604587	1.248629	2.073649
rapida/baixa	all	16	5.607700	0.000500	0.000900	0.002400	0.039633	0.010590	3.566525	3566524.600103	0.000000	0.000000	1.461473	2.427127
rapida/baixa	final	16	3.716300	0.000400	0.000800	0.002100	0.093900	0.011020	5.381697	5381696.849016	0.000000	0.000000	2.205285	3.662406
rapida/baixa	TBB	16	8.195500	0.001700	0.007500	0.014900	0.256233	0.028280	2.440364	2440363.614179	28.154421	175.965134	1.000000	1.660741
rapida/baixa	WinTP	16	13.610600	0.014200	0.040700	0.093600	0.101400	0.097180	1.469443	1469442.934184	3.562959	22.268493	0.602141	1.000000
rapida/media	oficial	16	19.161600	0.000500	0.000900	0.003800	0.425167	0.097720	3.131263	3131262.525050	9.693329	60.583306	1.328579	2.142853
rapida/media	g1-ring	16	10.704300	0.000400	0.000800	0.001300	0.038000	0.015660	5.605224	5605224.068832	0.000000	0.000000	2.378269	3.835888
rapida/media	g2-sub	16	22.125300	0.000600	0.001100	0.004500	0.414233	0.093730	2.711828	2711827.636235	8.474461	52.965384	1.150615	1.855817
rapida/media	g3-wrk	16	42.255700	0.000600	0.001000	0.004900	0.189133	0.036160	1.419927	1419926.779109	8.698962	54.368513	0.602468	0.971715
rapida/media	g4-park	16	21.151000	0.000500	0.000900	0.003200	0.148800	0.027970	2.836745	2836745.307550	8.624179	53.901119	1.203617	1.941303
rapida/media	all	16	17.186500	0.000400	0.000800	0.002200	0.043433	0.010150	3.491112	3491112.210165	18.712380	116.952375	1.481261	2.389114
rapida/media	final	16	10.501900	0.000400	0.001100	0.001800	0.083933	0.015460	5.713252	5713251.887754	17.853912	111.586951	2.424104	3.909816
rapida/media	TBB	16	25.457700	0.001600	0.006900	0.015500	0.202167	0.075310	2.356851	2356850.775993	17.657362	110.358515	1.000000	1.612891
rapida/media	WinTP	16	41.060500	0.014000	0.052800	0.100800	0.133300	0.113640	1.461258	1461258.387014	2.285955	14.287221	0.620005	1.000000
rapida/alta	oficial	16	36.995900	0.000500	0.000800	0.003200	0.114233	0.055110	3.243603	3243602.669485	9.748539	60.928366	1.351288	2.159277
rapida/alta	g1-ring	16	19.711400	0.000400	0.001200	0.001800	0.263400	0.030210	6.087848	6087847.641466	9.512262	59.451637	2.536202	4.052700
rapida/alta	g2-sub	16	43.771400	0.000600	0.001100	0.004200	0.138433	0.050890	2.741516	2741516.149815	12.850857	80.317856	1.142118	1.825036
rapida/alta	g3-wrk	16	87.829600	0.000600	0.001000	0.004900	0.058600	0.025320	1.366282	1366281.982384	10.496177	65.601104	0.569194	0.909538
rapida/alta	g4-park	16	40.648400	0.000500	0.000800	0.002900	0.147867	0.047700	2.952146	2952145.717913	13.838183	86.488644	1.229866	1.965253
rapida/alta	all	16	37.485500	0.000400	0.000800	0.002200	0.033167	0.015340	3.201238	3201237.811954	15.005802	93.786264	1.333638	2.131075
rapida/alta	final	16	21.442300	0.000400	0.000800	0.001400	0.098167	0.029220	5.596415	5596414.563736	16.995935	106.224591	2.331471	3.725552
rapida/alta	TBB	16	49.992100	0.001700	0.007400	0.014400	0.214233	0.120150	2.400379	2400379.259923	13.873542	86.709640	1.000000	1.597940
rapida/alta	WinTP	16	79.884400	0.013700	0.044900	0.106800	0.160300	0.110930	1.502171	1502170.636570	3.129522	19.559513	0.625806	1.000000
rapida/ultra	oficial	16	54.795000	0.000500	0.000800	0.002700	0.279933	0.072630	3.284971	3284971.256502	12.591116	78.694474	1.337312	2.265017
rapida/ultra	g1-ring	16	30.460900	0.000400	0.001000	0.001500	0.040133	0.022490	5.909215	5909214.763845	11.694776	73.092348	2.405641	4.074456
rapida/ultra	g2-sub	16	65.461600	0.000600	0.001100	0.005200	0.191767	0.047380	2.749704	2749703.643052	11.457099	71.606866	1.119404	1.895945
rapida/ultra	g3-wrk	16	132.740200	0.000600	0.001000	0.004100	0.268533	0.042940	1.356032	1356032.309730	11.300269	70.626683	0.552041	0.934996
rapida/ultra	g4-park	16	60.131200	0.000500	0.000900	0.003800	0.665533	0.139350	2.993454	2993454.313235	11.590386	72.439915	1.218635	2.064013
rapida/ultra	all	16	55.716200	0.000400	0.000800	0.002600	1.263900	0.212000	3.230658	3230658.228666	8.911966	55.699788	1.315201	2.227568
rapida/ultra	final	16	30.209500	0.000400	0.001100	0.002200	0.280567	0.116810	5.958391	5958390.572502	11.378871	71.117943	2.425661	4.108363
rapida/ultra	TBB	16	73.278000	0.001700	0.006600	0.014400	7.518767	0.127200	2.456399	2456398.919184	15.565722	97.285764	1.000000	1.693709
rapida/ultra	WinTP	16	124.111600	0.015400	0.066500	0.125800	0.170200	0.142230	1.450308	1450307.626362	3.594807	22.467541	0.590420	1.000000
media/baixa	oficial	16	28.528000	12.942300	25.520500	25.662400	25.632833	25.673260	0.701066	701065.619742	17.435636	108.972727	1.032158	1.012865
