scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
rapida/alta	g4-park	16	39.257900	0.000500	0.000800	0.002800	0.273400	0.068900	3.056710	3056709.604946	9.552218	59.701359	1.216667	2.222246
rapida/alta	all	16	37.276500	0.000400	0.000800	0.002200	0.110933	0.014220	3.219186	3219186.350650	10.059957	62.874733	1.281338	2.340367
rapida/alta	final	16	21.361800	0.000400	0.000700	0.001700	0.191433	0.040690	5.617504	5617504.142909	8.777350	54.858439	2.235945	4.083958
rapida/alta	TBB	16	47.763800	0.001800	0.007100	0.012900	0.548733	0.059470	2.512363	2512362.919198	12.778312	79.864448	1.000000	1.826502
rapida/alta	WinTP	16	87.240700	0.013000	0.045300	0.110000	0.143867	0.125380	1.375505	1375504.781598	3.402942	21.268384	0.547494	1.000000
rapida/ultra	oficial	16	53.625400	0.000500	0.000800	0.003400	0.965833	0.220110	3.356618	3356618.318931	12.791240	79.945249	1.302215	2.288028
rapida/ultra	g1-ring	16	31.437800	0.000400	0.000700	0.001200	0.240600	0.099390	5.725591	5725591.485409	11.928316	74.551972	2.221269	3.902830
rapida/ultra	g2-sub	16	63.133600	0.000500	0.001000	0.004000	1.277967	0.331330	2.851097	2851096.721872	11.879570	74.247310	1.106096	1.943441
rapida/ultra	g3-wrk	16	114.010900	0.000600	0.001000	0.005500	0.179300	0.060170	1.578796	1578796.413325	10.580317	66.126983	0.612501	1.076181
rapida/ultra	g4-park	16	60.164600	0.000500	0.000800	0.004500	0.403367	0.138170	2.991793	2991792.515865	11.343442	70.896515	1.160679	2.039345
rapida/ultra	all	16	52.113000	0.000500	0.001000	0.002300	0.175967	0.053120	3.454033	3454032.583041	10.756225	67.226405	1.340007	2.354430
rapida/ultra	final	16	32.712900	0.000400	0.000700	0.001300	0.299100	0.117160	5.502416	5502416.477903	11.180613	69.878832	2.134687	3.750704
rapida/ultra	TBB	16	69.831800	0.001900	0.008800	0.018400	1.194133	0.567280	2.577622	2577622.229414	11.191221	69.945131	1.000000	1.757028
rapida/ultra	WinTP	16	122.696400	0.014100	0.087400	0.166000	0.183867	0.186290	1.467036	1467035.707649	3.183671	19.897945	0.569143	1.000000
media/baixa	oficial	16	30.097700	13.789100	26.712200	26.862700	26.131667	26.875990	0.664503	664502.603189	15.202849	95.017809	0.940806	1.023161
media/baixa	g1-ring	16	29.844300	10.687700	23.312300	23.725500	29.187733	27.907010	0.670145	670144.717752	14.135865	88.349157	0.948794	1.031849
media/baixa	g2-sub	16	32.318500	14.291600	27.506000	27.769500	28.404800	27.791820	0.618841	618840.602132	13.053669	81.585431	0.876158	0.952854
media/baixa	g3-wrk	16	32.698100	13.084400	27.590700	27.776700	26.345267	27.791660	0.611656	611656.334772	11.946413	74.665080	0.865986	0.941792
media/baixa	g4-park	16	32.239200	14.574800	29.245400	29.722600	29.046700	29.737490	0.620363	620362.788159	13.570436	84.815225	0.878313	0.955197
media/baixa	all	16	32.093600	15.504300	29.754800	30.022000	29.364933	30.099220	0.623177	623177.206670	13.632001	85.200009	0.882297	0.959531
media/baixa	final	16	28.939300	10.047800	23.080400	23.282800	21.848867	23.306050	0.691102	691101.719807	15.149420	94.683878	0.978465	1.064117
media/baixa	TBB	16	28.316100	10.687100	19.737400	19.935800	20.271767	19.964760	0.706312	706311.956802	17.100097	106.875607	1.000000	1.087537
media/baixa	WinTP	16	30.794800	10.603900	20.356800	20.558100	19.014467	20.574060	0.649460	649460.298492	15.221726	95.135786	0.919509	1.000000
media/media	oficial	16	106.319100	25.816300	43.457300	43.808400	42.444167	43.824920	0.564339	564338.862914	16.459884	102.874272	1.015976	1.037578
media/media	g1-ring	16	108.125700	22.624100	41.553700	49.522100	67.237500	60.087850	0.554910	554909.702319	14.450773	90.317334	0.999001	1.020242
media/media	g2-sub	16	128.552500	8.903900	84.787700	88.660100	90.960400	88.740420	0.466735	466735.380487	14.356539	89.728372	0.840261	0.858127
media/media	g3-wrk	16	111.862900	27.444600	52.506700	53.151700	49.869533	53.246750	0.536371	536370.861117	14.945751	93.410941	0.965626	0.986157
media/media	g4-park	16	111.293500	26.427900	45.213800	45.258500	64.544200	45.282250	0.539115	539115.042657	14.601032	91.256453	0.970566	0.991203
media/media	all	16	111.548500	8.093200	102.861700	103.756600	99.023467	103.972460	0.537883	537882.625047	14.847802	92.798760	0.968347	0.988937
media/media	final	16	112.814700	24.713500	40.669800	42.068300	56.139833	45.897820	0.531846	531845.583953	14.045503	87.784392	0.957479	0.977837
